Asset ID,Title,Release,Genre,Director,Cast,Short Synopsis,Rating,Runtime,HD,Avail Start,Avail End,Ad Breaks
9380062,CUBE 2,2003,"Mystery, Horror, Thriller, Science Fiction",Andrzej Sekula,"Kari Matchett, Geraint Wyn Davies, Grace Lynn Kung, Matthew Ferguson, Neil Crone, Barbara Gordon, Lindsey Connell, Greer Kent, Bruce Gray, Philip Akin, Paul Robbins, Andrew Scorer",Eight strangers wake in a cube-shaped room with no idea of how they arrived. All they do know is that they have been plunged into a fourth-dimensional netherworld where they must escape from a gigantic puzzle box full of lethal challenges.,R,95,Yes,01-03-2022,31-03-2022,"00:10:30:00,00:21:05:00,00:31:07:00,00:41:30:00,00:52:12:00,01:04:03:00,01:14:03:00,01:24:09:00"
9380063,CUBE ZERO,2005,"Action/Adventure, Mystery, Horror, Thriller, Sci-Fi",Ernie Barbarash,"Zachary Bennett, David Huband, Stephanie Moore, Martin Roach, Terri Hawkes, Mike 'Nug' Nahrgang, Richard McMillan, Tony Munch, Michael Riley, Joshua Peace, Diego Klattenhoff, Alexia Filippeos, Jasmin Geljo, Fernando Cursione, Flossie McKnight","A group of unwilling participants frantically moves through an ominous construct of cube-shaped rooms. Each room holds the threat of hideously inventive and painful death. Finding the real exit, however, may not offer the freedom one seeks.",R,97,Yes,01-03-2022,31-03-2022,"00:10:06:00,00:20:18:00,00:30:00:00,00:40:05:00,00:50:10:00,01:02:04:00,01:12:15:00,01:22:49:00"
1620216,DANCE OF THE DEAD,2008,"Horror, Comedy",Gregg Bishop,"Jared Kusnitz, Greyson Chadwick, Chandler Darby, Carissa Capobianco, Randy McDowell, Blair Redford, Mark Oliver, Justin Welborn, Michael Mammoliti, Mark Lynch, Lucas Till, Hunter Pierce, Jonathan Spencer, Stephen Caudill, J. Jacob Adelman, James Jarr","When the dead rise and begin eating the flesh of the living at a local high school prom, it is up to the geeky members of the sci-fi club to save the world—and to get dates to the prom.",R,87,Yes,01-03-2022,31-03-2022,"00:11:33:00,00:22:20:00,00:32:17:00,00:43:57:00,00:56:23:00,01:05:23:00,01:19:10:00"
3340279,DAYDREAM NATION,2010,"Romance, Drama",Michael Goldbach,"Kat Dennings, Reece Thompson, Andie MacDowell, Josh Lucas, Rachel Blanchard, Landon Liboiron",Seventeen-year-old Caroline (Kat Dennings) finds herself entangled in a love triangle between her classmate and her high school teacher (Josh Lucas).,R,98,Yes,01-03-2022,31-03-2022,"00:10:37:00,00:21:22:00,00:33:19:00,00:43:20:00,00:55:40:00,01:07:23:00,01:17:59:00"
3340310,DINOCROC VS. SUPERGATOR,2011,"Horror, Thriller, Sci-Fi","Rob Robertson, Jim Wynorski","David Carradine, John Callahan, Rib Hillis","An evil investor's personal experiment goes awry, creating Dinocroc, and the only way to destroy the creature is to release its mortal enemy, Supergator.",NR,86,Yes,01-03-2022,31-03-2022,"00:09:36:00,00:20:30:00,00:30:21:00,00:42:16:00,00:52:21:00,01:04:09:00,01:17:46:00"
3340311,DINOSHARK,2011,"Horror, Thriller, Sci-Fi",Kevin O'Neill,"Eric Balfour, Iva Hasperger, Aaron Diaz","A lush vacation spot in Mexico is terrorized by a mysterious pre-historic creature that no one believes exists, except a young boat captain. Now it is up to the captain to stop Dinoshark before it invades an inland waterway full of swimmers.",NR,92,Yes,01-03-2022,31-03-2022,"00:10:49:23,00:23:46:28,00:34:29:17,00:46:38:18,00:57:14:12,01:07:05:04,01:18:54:11"
9380162,LEPRECHAUN,1993,"Horror, Comedy, Sci-Fi",Mark Jones,"Jennifer Aniston, Warwick Davis, Ken Olandt, Mark Holton, Robert Gorman, Shay Duffin, John Sanderford, John Voldstad, Pamela Mant, William Newman, David Permenter, Raymond C. Turner, Heather Kennedy, Tim Garrick, Alexandra Sachs, Brandon Sachs","A horrific Leprechaun goes on a rampage after his precious bag of gold coins is stolen. He uses all of his magical destructive powers to trick, terrorize, and kill anyone who is unlucky enough to hinder his relentless search.",R,91,Yes,01-03-2022,31-03-2022,"00:10:28:18,00:23:27:27,00:33:38:18,00:44:56:10,00:55:56:12,01:05:31:03,01:19:10:09"
9380165,LEPRECHAUN 4: LOST IN SPACE,1997,"Horror, Comedy, Sci-Fi",Brian Trenchard-Smith,"Warwick Davis, Brent Jasmer, Debbe Dunning, Jessica Collins, Guy Siner, Gary Grossman, Rebecca Carlton, Tim Colceri, Miguel A. Núñez Jr., Mike Cannizzo, Rick Peters, Geoff Meed, Ladd York, James Quinn",The evil leprechaun returns with a new plot to become king of an alien planet. Can an eccentric group of space marines thwart his plans before it's too late?,R,95,Yes,01-03-2022,31-03-2022,"00:10:21:00,00:20:58:00,00:31:20:00,00:41:44:00,00:52:54:00,01:07:25:00,01:19:01:00"
9380163,LEPRECHAUN II,1994,"Horror, Comedy, Sci-Fi",Rodman Flender,"Warwick Davis, Charlie Heath, Shevonne Durkin, Sandy Baron, Adam Biesk, James Lancaster, Linda Hopkins, Arturo Gil, Kimmy Robertson, Clint Howard, Andrew Craig, David Powledge, Billy Beck, Al White, Martha Hackett, Jonathan R. Perkins, Tony Cox","A thousand years ago, an evil leprechaun was thwarted as he tried to ensnare a young bride. Now, in 1994 Los Angeles, the leprechaun is determined to take the beautiful descendant of the woman for his bride and he will leave a trail of carnage doing it.",R,85,Yes,01-03-2022,31-03-2022,"00:11:30:00,00:22:03:00,00:33:05:00,00:43:46:00,00:55:59:00,01:07:49:00"
9380164,LEPRECHAUN III,1995,"Horror, Comedy, Sci-Fi",Brian Trenchard-Smith,"Warwick Davis, John Gatins, Lee Armstrong, John DeMita, Michael Callan, Caroline Williams, Marcelo Tubert, Tom Dugan, Leigh-Allyn Baker, Richard Reicheg, Linda Shayne, Ian Gregory, Roger Hewlett, Terry Lee Crisp, Jennifer Stein, Susan Skinner",The Leprechaun is on another rampaging hunt for his missing gold. This time he’s trying his luck in Las Vegas after an unlucky college student stumbles upon one of the Leprechaun's stolen gold shillings.,R,93,Yes,01-03-2022,31-03-2022,"00:10:34:00,00:23:37:00,00:34:08:00,00:44:24:00,00:54:54:00,01:05:06:00,01:15:10:00"
9380166,LEPRECHAUN V: IN THE HOOD,2000,"Music, Horror, Comedy, Fantasy",Rob Spera,"Warwick Davis, Ice-T, A.T. Montgomery, Rashaan Nall, Red Grant, Dan Martin, Lobo Sebastian, Ivory Ocean, Jack Ong, Barima McKnight, Bebe Drake, Donna M. Perkins, Daya Vaidya, Chloe Hunter, Lori J. Jones, Eric Mansker, Steven M. Porter, Coolio","A group of aspiring rappers steal a magical flute that instantly makes them successful, however, it also awakens the wrath of the ruthless leprechaun.",R,90,Yes,01-03-2022,31-03-2022,"00:10:41:22,00:22:33:12,00:33:01:14,00:46:59:29,00:59:01:09,01:10:29:16,01:20:47:25"
9380875,MAZES AND MONSTERS,1982,"Drama, Fantasy",Steven H. Stern,"Tom Hanks, Wendy Crewson, David Wallace, Chris Makepeace, Lloyd Bochner, Peter Donat, Anne Francis, Murray Hamilton, Vera Miles, Louise Sorel, Susan Strasberg, Chris Wiggins, Clark Johnson, Tom Harvey, James O'Regan, Kevin Fox, Angelo Rizacos, Eric F","Robbie and his college buddies are all obsessed with roleplaying game 'Mazes and Monsters'. However, the games take a strange turn when Robbie begins experiencing visions after they play a session at a mystical local landmark.",PG,100,Yes,01-03-2022,31-03-2022,"00:11:23:27,00:22:48:28,00:34:03:00,00:45:10:07,00:56:21:26,01:09:12:28,01:24:59:22"
9382765,REMEMORY,2017,"Mystery, Psychological Thriller",Mark Palansky,"Peter Dinklage, Julia Ormond, Martin Donovan, Henry Ian Cusick, Andrew Herr, Evelyne Brochu, Anton Yelchin","When an inventor turns up dead, a mysterious man (Peter Dinklage) steals his latest invention: a device able to extract, record and play a person’s memories.",PG-13,91,Yes,01-03-2022,31-03-2022,"00:12:50:08,00:22:00:18,00:35:34:14,00:50:10:01,01:05:17:17,01:23:32:26,01:36:11:26"
9381894,RIGHT AT YOUR DOOR,2007,"Thriller, Drama",Chris Gorak,"Mary McCormack, Rory Cochrane, Tony Perez, Scotty Noyd Jr., Jon Huertas, Max Kasch, David Richards, Nina Barry, Ed Martin, Jenny O'Hara, Will McCormack, Hector Luis Bustamante, Soledad St. Hilaire, Alejandra Flores, Nigel Gibbs, Emeka Nnadi","With Los Angeles under sieges by toxic bombs, Brad and Lexi struggle to survive with little supply, limited time and no information.",R,96,Yes,01-03-2022,31-03-2022,"00:11:43:00,00:25:42:00,00:38:02:00,00:51:11:00,01:01:31:00,01:11:39:00,01:22:41:00"
9381229,RIPLEY UNDER GROUND,2005,"Drama, Thriller, Crime",Roger Spottiswoode,"Barry Pepper, Jacinda Barrett, Ian Hart, Claire Forlani, Alan Cumming, Tom Wilkinson, François Marthouret, Douglas Henshall, Willem Dafoe, Peter Serafinowicz, Frederique Michelle, Shelley Conn, Dinah Stabb, Simon Callow, Mika Simmons, Ifan Meredith","After his brilliant artist friend is murdered, a man covers up the killing so that he is able to profit from the works left behind.",NR,101,No,01-03-2022,31-03-2022,"00:11:19:00,00:23:36:00,00:36:00:00,00:46:22:00,00:59:15:00,01:09:45:00,01:20:33:00,01:30:38:00"
3340916,SHARKTOPUS,2011,"Action, Horror, Sci-Fi",Declan O'Brien,"Eric Roberts, Hector Jimenez","It is known as S-11, a diabolical hybrid of shark and octopus created by genetic scientist Nathan Sands, and it is the U.S. Navy’s next super-weapon.",NR,89,Yes,01-03-2022,31-03-2022,"00:11:56:20,00:23:40:13,00:34:39:25,00:45:46:02,00:57:19:24,01:10:38:01,01:19:47:09"
